feature;importancia
INSTITUICAO_ENSINO_EE Neide Celestina de Oliveira;0,0
INSTITUICAO_ENSINO_EE Neide Celestina de Oliveira Profa;0,0
DIF_PSICOPEDAGOGICO_NIVEL_5.15625;0,0
INSTITUICAO_ENSINO_EE Paschoal Carlos Magno;0,0
INSTITUICAO_ENSINO_EM Alfredo Schunk;0,0
INSTITUICAO_ENSINO_EM Amanda Consuelo da Cunha;0,0
INSTITUICAO_ENSINO_EM Bairro Lagoa Grande;0,0
FASE_3M;0,0
INSTITUICAO_ENSINO_EM Etelvina Delfim Simões;0,0
INSTITUICAO_ENSINO_EM Eurides José Amorim;0,0
INSTITUICAO_ENSINO_EM Juvenal Coutinho;0,0
INSTITUICAO_ENSINO_EM Maria Ignez Concelles Irma Ines;0,0
INSTITUICAO_ENSINO_EM Pedro Antonio de Almeida;0,0
INSTITUICAO_ENSINO_ESPM;0,0
INSTITUICAO_ENSINO_Escola João Paulo II;0,0
FASE_3N;0,0
INSTITUICAO_ENSINO_FGV;0,0
FASE_7E;0,0
INSTITUICAO_ENSINO_EE Dom Pedro Villas Boas de Souza;0,0
FASE_8A;0,0
FASE_8B;0,0
FASE_8D;0,0
FASE_8E;0,0
FASE_8F;0,0
FASE_9;0,0
FASE_FASE 2;0,0
FASE_3P;0,0
IPP_7.083333333;0,0
IPP_7.125;0,0
IPP_7.1875;0,0
IPP_7.25;0,0
IPP_7.291666667;0,0
IPP_7.34375;0,0
INSTITUICAO_ENSINO_FIAP School - SP;0,0
INSTITUICAO_ENSINO_EE Olivia de Faria Nogueira;0,0
INSTITUICAO_ENSINO_Faculdade FIAP;0,0
INSTITUICAO_ENSINO_INSPER;0,0
INSTITUICAO_ENSINO_João Friaza Colégio;0,0
INSTITUICAO_ENSINO_Recanto Betânia Centro Educacional;0,0
INSTITUICAO_ENSINO_Rede Decisão - Unidade União;0,0
INSTITUICAO_ENSINO_Universidade Anhembi Morumbi;0,0
INSTITUICAO_ENSINO_Universidade Cruzeiro do Sul;0,0
INSTITUICAO_ENSINO_Universidade Estácio de Sá;0,0
INSTITUICAO_ENSINO_Universidade Mackenzie;0,0
INSTITUICAO_ENSINO_Universidade Santo Amaro (UNISA);0,0
FASE_0;0,0
FASE_1A;0,0
FASE_1B;0,0
FASE_1C;0,0
FASE_1D;0,0
FASE_1E;0,0
FASE_1G;0,0
FASE_1H;0,0
FASE_1J;0,0
FASE_1K;0,0
FASE_1L;0,0
FASE_1M;0,0
FASE_1N;0,0
FASE_1P;0,0
FASE_1R;0,0
FASE_2;0,0
FASE_2A;0,0
FASE_2B;0,0
IPP_4.21875;0,0
IPP_4.375;0,0
IPP_4.583333333;0,0
IPP_4.6875;0,0
IPP_4.791666667;0,0
IPP_5.0;0,0
IPP_5.125;0,0
IPP_5.15625;0,0
IPP_5.25;0,0
IPP_5.3125;0,0
IPP_5.416666667;0,0
IPP_5.46875;0,0
IPP_5.625;0,0
IPP_5.75;0,0
IPP_5.78125;0,0
IPP_5.833333333;0,0
FASE_2C;0,0
FASE_2D;0,0
FASE_2G;0,0
FASE_3R;0,0
IPP_3.4375;0,0
FASE_6;0,0
FASE_6A;0,0
FASE_7;0,0
FASE_7A;0,0
FASE_4L;0,0
FASE_3U;0,0
FASE_4N;0,0
FASE_4R;0,0
FASE_5;0,0
FASE_5A;0,0
FASE_5B;0,0
FASE_5C;0,0
FASE_5D;0,0
FASE_5F;0,0
FASE_5G;0,0
FASE_2K;0,0
FASE_2L;0,0
FASE_2M;0,0
FASE_2N;0,0
FASE_2P;0,0
FASE_2R;0,0
FASE_2U;0,0
FASE_3A;0,0
FASE_3B;0,0
FASE_4;0,0
FASE_3D;0,0
FASE_3F;0,0
FASE_3G;0,0
FASE_3H;0,0
FASE_3I;0,0
IPP_3.75;0,0
INSTITUICAO_ENSINO_Faculdade (FIAP);-2,051931252959828e-18
